text,intent
['biotic community of active followers'],Professional Inquiry
['CBD'],Product Inquiry-Ingredients
['If information technology have an alcohol garble and perfume I will not corrupt'],Product Inquiry-Ingredients
['Is the paraben - free moisturizer available operating theatre not?'],Product Inquiry-Availability
['Ar there any opportunity for product reviewer?'],Professional Inquiry
['My beauty parlour is considering carry your total cosmetics line. Could you provide info?'],Professional Inquiry
"[""Tinker's dam, that was close!""]",Others
['Doe is contain niacinamides?'],Product Inquiry-Ingredients
['cerammide'],Product Inquiry-Ingredients
['The track selective information for my order is wrong.'],Customer Support-Shipping Issues
['Toll'],Product Inquiry-Price
['Can you serve with the merchant marine delay?'],Customer Support-Shipping Issues
['Iodin admire you for your bravery'],Feedback-Compliments
"[""Rear you seduce this product in a larger size? It ' s too little.""]",Feedback-Suggestions
"['You need to tap into the immense K - beaut trend like cushion concordat, tone - upwards creams etc.']",Feedback-Suggestions
"[""Unity ' m real satisfied with my leverage.""]",Feedback-Compliments
"[""I ' m a professional MUA and wonder if you offer any pro discounts oregon loyalty computer programme Ane could sign upwardly for?""]",Professional Inquiry
['Is thither a way to go after my gild?'],Customer Support-Order Status
['When bequeath you restock the vegan lipstick?'],Product Inquiry-Availability
['One note your concealer make dimethicone list - is this a modern formulation change?'],Product Inquiry-Ingredients
"[""Be the new lusterlessness lipstick ghost ' Velvet Rouge ' still available? It ' s sold come out online.""]",Product Inquiry-Availability
['This is non all right'],Feedback-Complaints
"[""Information technology ' s gorgeous!""]",Feedback-Compliments
['Can you intimate a good moisturizer for oily skin?'],Product Inquiry-Recommendations
['Be this genuinely deserving $ l? Seems corresponding a rip - off.'],Product Inquiry-Price
['Information technology would constitute nice to have a loyalty syllabus.'],Feedback-Suggestions
['cock sucking'],Others
['Your novel matte foundation oxidizes and turns orange several ghost darker than my skin timber.'],Feedback-Complaints
['Do you have a memory board locator on your internet site?'],Others
['Keister you justify the price of this turd?'],Product Inquiry-Price
['Is the hair serum destitute from sulfate?'],Product Inquiry-Ingredients
"[""My holy order hasn ' t arrived thus far, tin you check?""]",Customer Support-Order Status
['Can One use information technology on the eye area too?'],Product Inquiry-Usage Instructions
['Launch more than multi - tasking hybrid makeup stick / emollient would be and so on - trend!'],Feedback-Suggestions
['How make I track my order condition?'],Customer Support-Order Status
['1 ’ five hundred love to see more vegan options from your stigma.'],Feedback-Suggestions
